Product Name,Description,Images Link,Price,Product Link
"Product Name : 
Hero 100 14K Gold Nib Fully Metal Fountain Pen Arrow Mark Authentic Elegant Black & Silver Clip Ink Pen Writing Gift Set","
Description : 
Specification:

Brand: Hero
Pen Cap: Push type
Nib: 14K Gold Nib
Writing Point: F Nib (About 0.5mm)
Ink: Only can work with bottled ink
Length(About): 139mm ; Weight(About): 55g ; Diameter(About): 12mm
Application Scene: School/Shop/Office/Business/Student/Writing/Gift/Calligraphy/Home
Package Included: Fountain Pen x 1 (Do not contain ink), Hero Gift Box x 1


Delivery time :
Normal delivery time takes about 3 weeks. Sometimes, parcel may be delayed due to customs inspection .Because you bought the item from opposite side of the earth, it needs time to ship and the duration on its way to you is out of control. What under our control is that we will ensure ship the item within 2 working days as described in item listing. Therefore, please DON’T leave us 1, 2, 3 or 4-Detailed Seller Ratings on Shipping Time and Shipping Charge which equaling to negative feedback .We welcome your positive 5-Detailed Seller Ratings for us.

About Us:
1.We always strive for excellence, innovation, quality products and high standards of customer service. If you have any question or query, please feel free to contact us first, we will take active measures to help you solve the problem within 24 hours Monday to Sunday. Thanks.
2.We ship within 48 hours after we receive your payment. Sometimes parcel may be delayed due to Customs inspections. Your understanding and patience will be highly appreciated.
","('Images Link : ', ['https://ae01.alicdn.com/kf/Sef048eb0c1e2417b92d30b6d6dd512dcB.jpg', 'https://ae01.alicdn.com/kf/S014823f059614ee4b8f27b062f93ef2d0.jpg', 'https://ae01.alicdn.com/kf/S0ca24d6dd4f2487f8e923299c8596d4f3.jpg', 'https://ae01.alicdn.com/kf/S39b7dc32397540cc99343a96605151e1o.jpg', 'https://ae01.alicdn.com/kf/Sb7d26118dfc14d0c94f79f269d11b063q.jpg', 'https://ae01.alicdn.com/kf/S0342c8c0f7204dba99ded42fd2e7261e4.jpg', 'https://ae01.alicdn.com/kf/Sc62181605495419f82f112d51b1ee981A.jpg', 'https://ae01.alicdn.com/kf/S5a74a93d01254d9c8807a5ee10b85304Q.jpg'])","
Price : $100.91","
Product Link : https://www.aliexpress.us/item/3256805255718957.html?spm=a2g0o.productlist.main.1.48f8xUHlxUHlIC&algo_pvid=562d9349-5c8c-4524-8343-e3cbeefe598c&algo_exp_id=562d9349-5c8c-4524-8343-e3cbeefe598c-0&pdp_npi=4%40dis%21USD%21183.48%21100.91%21%21%21183.48%21100.91%21%402101ea7117179285522564204e6f8d%2112000033098443614%21sea%21US%210%21AB&curPageLogUid=tj0Bd07xaUdA&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-description"
"Product Name : 
Hero 100 14K Gold Nib Vintage Fully Metal Fountain Pen Arrow Mark Authentic Business Black-Silver Clip Ink Pen Writing Gift Set","
Description : 
Specification:

Brand: Hero
Pen Cap: Push type
Nib: 14K Gold Nib
Writing Point: F (About 0.5mm)
Ink: Work with bottled ink or standard cartridges
Length(About): 139mm ; Weight(About): 55g ; Diameter(About): 12mm
Application Scene: School/Shop/Office/Business/Student/Writing/Gift/Calligraphy/Home
Package Included: Fountain Pen x 1(Do not contain ink), Hero Gift Box x 1


Delivery time :
Normal delivery time takes about 3 weeks. Sometimes, parcel may be delayed due to customs inspection .Because you bought the item from opposite side of the earth, it needs time to ship and the duration on its way to you is out of control. What under our control is that we will ensure ship the item within 2 working days as described in item listing. Therefore, please DON’T leave us 1, 2, 3 or 4-Detailed Seller Ratings on Shipping Time and Shipping Charge which equaling to negative feedback .We welcome your positive 5-Detailed Seller Ratings for us.

About Us:
1.We always strive for excellence, innovation, quality products and high standards of customer service. If you have any question or query, please feel free to contact us first, we will take active measures to help you solve the problem within 24 hours Monday to Sunday. Thanks.
2.We ship within 48 hours after we receive your payment. Sometimes parcel may be delayed due to Customs inspections. Your understanding and patience will be highly appreciated.
","('Images Link : ', ['https://ae01.alicdn.com/kf/Hfac77490818943c78a7d229d4187e0cfS.jpg', 'https://ae01.alicdn.com/kf/H87246ee997324e9db0bd4846387e98887.jpg', 'https://ae01.alicdn.com/kf/H25ec69e41b914be1a35d83012fa76f66a.jpg', 'https://ae01.alicdn.com/kf/H4cc4fa0aaf4e41cfa72f55086d2ebdeeB.jpg', 'https://ae01.alicdn.com/kf/Hcd8d7381d5e5494f870b2ee0c665dbecQ.jpg', 'https://ae01.alicdn.com/kf/H316aaa9ca29c4c01906f6a1e63f097c43.jpg', 'https://ae01.alicdn.com/kf/Hd98def4b95b64da6a68bb0174ff798efQ.jpg', 'https://ae01.alicdn.com/kf/Hd5b14cca7ab74860957cdc4cfcb3327dw.jpg', 'https://ae01.alicdn.com/kf/H1af8b853641a4d2daaba2ab6dc06ab671.jpg', 'https://ae01.alicdn.com/kf/H87a40c551cd446ce807cbb7421daeb15L.jpg', 'https://ae01.alicdn.com/kf/Hdf6b7808c57f4629b89efcb47740b5650.jpg', 'https://ae01.alicdn.com/kf/Hb624bbb6c7004b8bb095072bb3958a91i.jpg', 'https://ae01.alicdn.com/kf/H0d2261370da249dd83a2b86225f41ed4u.jpg', 'https://ae01.alicdn.com/kf/H6722b17b13a6427eaaeb7303cf79ec97g.jpg', 'https://ae01.alicdn.com/kf/H68431f73ad9a44a2b7dfa90c4ed29471j.jpg', 'https://ae01.alicdn.com/kf/H6102e482eccb4585bf40c433fbfd1736D.jpg', 'https://ae01.alicdn.com/kf/Hb17590b99d4c4fb0aa26822027b8c81dc.jpg', 'https://ae01.alicdn.com/kf/H8445158015c248c9809cf0d69e3d57b3c.jpg', 'https://ae01.alicdn.com/kf/H33d11aad1d5c4c3081f83ec00c79c11cA.jpg', 'https://ae01.alicdn.com/kf/H1ddaff90d68e48308ffefd864596128fv.jpg'])","
Price : $100.87","
Product Link : https://www.aliexpress.us/item/3256802455478516.html?spm=a2g0o.productlist.main.3.48f8xUHlxUHlIC&algo_pvid=562d9349-5c8c-4524-8343-e3cbeefe598c&algo_exp_id=562d9349-5c8c-4524-8343-e3cbeefe598c-1&pdp_npi=4%40dis%21USD%21183.40%21100.87%21%21%21183.40%21100.87%21%402101ea7117179285522564204e6f8d%2112000021524334222%21sea%21US%210%21AB&curPageLogUid=QfSxjEeWqdPT&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-description"
"Product Name : 
Hero 100 14K Gold Nib Brand New Fully Metal Fountain Pen Arrow Mark Authentic Business Black-Golden Clip Ink Pen Writing Gift Se","
Description : 
Specification:

Brand: Hero
Pen Cap: Push type
Nib: 14K Gold Nib
Writing Point: F (About 0.5mm)
Ink: Work with bottled ink or standard cartridges
Length(About): 139mm ; Weight(About): 55g ; Diameter(About): 12mm
Application Scene: School/Shop/Office/Business/Student/Writing/Gift/Calligraphy/Home
Package Included: Fountain Pen x 1(Do not contain ink), Hero Gift Box x 1


Delivery time :
Normal delivery time takes about 3 weeks. Sometimes, parcel may be delayed due to customs inspection .Because you bought the item from opposite side of the earth, it needs time to ship and the duration on its way to you is out of control. What under our control is that we will ensure ship the item within 2 working days as described in item listing. Therefore, please DON’T leave us 1, 2, 3 or 4-Detailed Seller Ratings on Shipping Time and Shipping Charge which equaling to negative feedback .We welcome your positive 5-Detailed Seller Ratings for us.

About Us:
1.We always strive for excellence, innovation, quality products and high standards of customer service. If you have any question or query, please feel free to contact us first, we will take active measures to help you solve the problem within 24 hours Monday to Sunday. Thanks.
2.We ship within 48 hours after we receive your payment. Sometimes parcel may be delayed due to Customs inspections. Your understanding and patience will be highly appreciated.
","('Images Link : ', ['https://ae01.alicdn.com/kf/Hfac77490818943c78a7d229d4187e0cfS.jpg', 'https://ae01.alicdn.com/kf/H87246ee997324e9db0bd4846387e98887.jpg', 'https://ae01.alicdn.com/kf/H25ec69e41b914be1a35d83012fa76f66a.jpg', 'https://ae01.alicdn.com/kf/H4cc4fa0aaf4e41cfa72f55086d2ebdeeB.jpg', 'https://ae01.alicdn.com/kf/Hcd8d7381d5e5494f870b2ee0c665dbecQ.jpg', 'https://ae01.alicdn.com/kf/H316aaa9ca29c4c01906f6a1e63f097c43.jpg', 'https://ae01.alicdn.com/kf/Hd98def4b95b64da6a68bb0174ff798efQ.jpg', 'https://ae01.alicdn.com/kf/Hd5b14cca7ab74860957cdc4cfcb3327dw.jpg', 'https://ae01.alicdn.com/kf/H1af8b853641a4d2daaba2ab6dc06ab671.jpg', 'https://ae01.alicdn.com/kf/H87a40c551cd446ce807cbb7421daeb15L.jpg', 'https://ae01.alicdn.com/kf/Hdf6b7808c57f4629b89efcb47740b5650.jpg', 'https://ae01.alicdn.com/kf/Hb624bbb6c7004b8bb095072bb3958a91i.jpg', 'https://ae01.alicdn.com/kf/H0d2261370da249dd83a2b86225f41ed4u.jpg', 'https://ae01.alicdn.com/kf/H6722b17b13a6427eaaeb7303cf79ec97g.jpg', 'https://ae01.alicdn.com/kf/H68431f73ad9a44a2b7dfa90c4ed29471j.jpg', 'https://ae01.alicdn.com/kf/H6102e482eccb4585bf40c433fbfd1736D.jpg', 'https://ae01.alicdn.com/kf/Hb17590b99d4c4fb0aa26822027b8c81dc.jpg', 'https://ae01.alicdn.com/kf/H8445158015c248c9809cf0d69e3d57b3c.jpg', 'https://ae01.alicdn.com/kf/H33d11aad1d5c4c3081f83ec00c79c11cA.jpg', 'https://ae01.alicdn.com/kf/H1ddaff90d68e48308ffefd864596128fv.jpg'])","
Price : $100.90","
Product Link : https://www.aliexpress.us/item/3256802455470878.html?spm=a2g0o.productlist.main.5.48f8xUHlxUHlIC&algo_pvid=562d9349-5c8c-4524-8343-e3cbeefe598c&algo_exp_id=562d9349-5c8c-4524-8343-e3cbeefe598c-2&pdp_npi=4%40dis%21USD%21183.45%21100.90%21%21%21183.45%21100.90%21%402101ea7117179285522564204e6f8d%2112000021524373677%21sea%21US%210%21AB&curPageLogUid=mueNMQLCETzJ&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-description"
"Product Name : 
200pcs Multifunction 0.5mm Gel Ink Pen Vernier Caliper Roller Ball Pen Stationery Ball-Point","
Description : 
Note before purchase: This is a craft gift, which can be mainly used for writing. The measuring accuracy of the caliper is not high, but it is only an auxiliary function. If you need to measure the product, please buy a professional caliper
Vernier caliper ball point pen
It can be used as a ruler or write with black / Blue refill
Specification: 0-100 mm
Pen head: bullet type 1.0
Material: plastic
Package: transparent bag
Weight: 8g
","('Images Link : ', ['https://ae01.alicdn.com/kf/Hc64a708647c34238add27acbabdd3aa6I.jpg', 'https://ae01.alicdn.com/kf/Hb6da9d4ea227440c8513546962d54098i.jpg', 'https://ae01.alicdn.com/kf/Hdef29977a3f24dc2b7b1182f617ab004E.jpg', 'https://ae01.alicdn.com/kf/H95268e68633840dd877d5b241c838a48K.jpg', 'https://ae01.alicdn.com/kf/H6a3e03c97fad4349a5fc951711096e88Z.jpg', 'https://ae01.alicdn.com/kf/H8dea65e8f6644cc985443375c06b472bP.jpg', 'https://ae01.alicdn.com/kf/H457d7abefad4494d9a88fd2834e0d17fU.jpg', 'https://ae01.alicdn.com/kf/H1466ad759770477fb2aeb114b3fdc439x.jpg'])","
Price : $100.94 / lot (200 Pieces)","
Product Link : https://www.aliexpress.us/item/3256803143145821.html?spm=a2g0o.productlist.main.9.48f8xUHlxUHlIC&algo_pvid=562d9349-5c8c-4524-8343-e3cbeefe598c&algo_exp_id=562d9349-5c8c-4524-8343-e3cbeefe598c-4&pdp_npi=4%40dis%21USD%21103.00%21100.94%21%21%21103.00%21100.94%21%402101ea7117179285522564204e6f8d%2112000025239730875%21sea%21US%210%21AB&curPageLogUid=6CdiLcLlfO5D&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-description"
"Product Name : 
Creative girl heart into oil quicksand 0.5mm black ink pen","
Description : 
Selling Point
Creative girl heart into oil quicksand 0.5mm black ink pen

Size: 18 cm.
","('Images Link : ', ['https://ae01.alicdn.com/kf/Hc91dd7c0f41041a79780a1278d368967I.jpg', 'https://ae01.alicdn.com/kf/H0534a45a028d47608bbd1bc7e19cc9f0U.jpg', 'https://ae01.alicdn.com/kf/H08dde042b0cb48549586605ef1dc7772K.jpg', 'https://ae01.alicdn.com/kf/H98a72774b4eb41ad83ba4b48d315c37ei.jpg', 'https://ae01.alicdn.com/kf/H93157aeb43114663b22c2e6be342df7bj.jpg', 'https://ae01.alicdn.com/kf/H693b377313a842dba753bc732f9d101bz.jpg'])","
Price : $100.00 / lot (100 Pieces)","
Product Link : https://www.aliexpress.us/item/2255800016422585.html?spm=a2g0o.productlist.main.11.48f8xUHlxUHlIC&algo_pvid=562d9349-5c8c-4524-8343-e3cbeefe598c&algo_exp_id=562d9349-5c8c-4524-8343-e3cbeefe598c-5&pdp_npi=4%40dis%21USD%21100.00%21100.00%21%21%21100.00%21100.00%21%402101ea7117179285522564204e6f8d%2110000000772514779%21sea%21US%210%21AB&curPageLogUid=vyZFeQJPhHsz&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-description"
"Product Name : 
New Metal Pen Best For Company Logo Gift,Office & Business Pens","
Description : 

","('Images Link : ', ['https://ae01.alicdn.com/kf/H9e1bd4856fb04b7d8ac3e78b1f49bf54Q.jpg', 'https://ae01.alicdn.com/kf/H26e5c1b134774ae88997cbdc6d8aa2cd0.jpg', 'https://ae01.alicdn.com/kf/H3809052467894b659ef520061698fd92h.jpg', 'https://ae01.alicdn.com/kf/H9f7b328fc212428db8be2717a542ee06v.jpg', 'https://ae01.alicdn.com/kf/H4186e7bee0e94573a203cb65d46e7c75n.jpg', 'https://ae01.alicdn.com/kf/HTB1_vEjXRaE3KVjSZLeq6xsSFXar.jpg'])","
Price : $100.00","
Product Link : https://www.aliexpress.us/item/2255799885570865.html?spm=a2g0o.productlist.main.13.48f8xUHlxUHlIC&algo_pvid=562d9349-5c8c-4524-8343-e3cbeefe598c&algo_exp_id=562d9349-5c8c-4524-8343-e3cbeefe598c-6&pdp_npi=4%40dis%21USD%21100.00%21100.00%21%21%21100.00%21100.00%21%402101ea7117179285522564204e6f8d%2110000000184547513%21sea%21US%210%21AB&curPageLogUid=ZVlYhUM9zUoI&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-description"
